vehicle_flow,avg_speed,stopped_vehicles,waiting_time
0,0.0,0,0
4,2.283487725242334,38,54.40000081062317
3,1.8473377934656727,7,65.55000097677112
1,1.2951196430693026,3,82.45000122860074
0,1.391261618292147,5,108.6000016182661
2,0.12977302817780112,2,122.65000182762742
1,1.787228476186823,25,77.05000114813447
0,1.8506158598600644,8,109.65000163391232
4,1.6152086105277703,8,106.80000159144402
2,1.3092249283646493,39,89.50000133365393
1,0.5360821253676465,2,120.25000179186463
1,0.9206805140765459,13,132.85000197961926
2,2.1864067500006117,29,109.25000162795186
4,2.136365398721915,38,113.75000169500709
1,0.5450292135225465,19,195.00000290572643
0,1.042560107481985,12,190.60000284016132
0,0.0,0,0
3,2.9102407193270317,40,52.1000007763505
3,1.2659722011488153,7,105.1500015668571
3,1.3731874255620902,17,84.80000126361847
3,2.2327875085450444,13,99.900001488626
0,0.8605621456142667,4,138.50000206381083
1,0.609761061860842,2,175.5000026151538
0,0.18923190306577942,2,203.80000303685665
0,0.24954076043199963,5,237.65000354126096
0,0.0,0,0
4,3.051869846840492,34,46.30000068992376
2,1.025335494404944,77,89.25000132992864
0,0.0,0,0
4,3.056637582661822,28,44.200000658631325
4,1.5868958563582156,19,76.55000114068389
0,0.8911362695129277,8,95.80000142753124
2,2.1941029081112413,11,84.60000126063824
1,0.04985047515236065,0,114.8000017106533
0,1.2473405801266677,2,98.80000147223473
0,0.0,0,0
4,2.829253432993084,41,45.500000678002834
3,1.2911967186404536,12,87.80000130832195
0,1.189120284047592,6,82.5000012293458
1,1.9664732503795836,6,87.00000129640102
2,0.5484394557049044,2,114.75000170990825
1,1.6109234062443893,14,97.95000145956874
2,1.1813235393556332,7,127.25000189617276
1,2.0943669521920127,11,96.60000143945217
3,2.2088908884114145,7,92.80000138282776
4,1.2208125497616897,10,91.60000136494637
2,0.40807013630584277,7,93.85000139847398
0,2.365376839620339,10,74.35000110790133
5,1.952160770943477,6,64.15000095590949
1,1.7046513760306488,5,54.90000081807375
1,2.2193289059147996,7,72.50000108033419
0,0.5516361762273374,7,139.75000208243728
1,1.5348003118395575,29,87.30000130087137
4,2.017862189541357,30,81.60000121593475
2,0.6734303431786594,15,76.3000011369586
1,1.5719025629899666,7,56.65000084415078
1,0.6340359613582834,3,65.25000097230077
0,2.2007068326284025,2,49.65000073984265
2,0.8404429498661908,1,40.550000604242086
1,2.345926142036995,7,22.750000339001417
2,1.7692100677160227,5,21.250000316649675
1,1.9028652676904887,27,44.50000066310167
2,2.108280172996842,51,69.35000103339553
2,1.7128292892552766,40,112.60000167787075
1,0.9458853914342614,49,127.2000018954277
0,0.8056168369907415,46,145.35000216588378
2,1.477984596312079,24,140.40000209212303
3,1.7849642046759238,30,89.70000133663416
2,0.6002954942032508,45,129.7000019326806
2,1.5401506590889134,40,96.55000143870711
3,1.0041824085611095,31,91.30000136047602
3,2.517907436375278,12,50.900000758469105
3,2.762782073858783,12,46.70000069588423
2,1.6643786904832547,2,32.20000047981739
0,0.0,0,0
1,2.0486119228040875,41,53.450000796467066
3,1.5240451052249437,46,68.05000101402402
0,1.1967624788045856,47,86.95000129565597
2,1.4135329723686316,43,80.75000120326877
0,0.028013917819945732,37,102.20000152289867
0,0.34044647761759117,22,103.40000154078007
0,0.5082862163423885,54,124.45000185444951
0,1.488820108041039,54,104.200001552701
2,0.45328081519198715,73,125.20000186562538
0,0.411770104562367,44,110.25000164285302
0,0.008665362335216548,19,128.80000191926956
1,0.13209792963190337,14,120.90000180155039
0,1.1281752163099192,11,126.2500018812716
2,1.3648360256299639,33,117.75000175461173
2,0.9429213020107934,24,155.00000230967999
4,1.624230030598454,24,115.70000172406435
0,0.0,0,0
3,2.7243837160816646,45,37.750000562518835
1,1.2257221260711444,110,73.200001090765
0,0.0,0,0
3,2.3368372287260444,33,57.40000085532665
3,1.5598750715654934,51,83.95000125095248
2,0.8989563288259629,7,105.00000156462193
1,0.8284089980812874,11,130.50000194460154
0,0.3725862530895812,20,173.4500025846064
0,0.0,0,0
3,2.233025006496092,49,67.65000100806355
3,1.4661688310391001,44,70.20000104606152
0,0.0,0,0
3,1.8360616911054926,31,67.85000101104379
4,2.1883812645216554,36,60.25000089779496
1,1.0531453454277118,12,122.10000181943178
1,0.7247131867738175,12,139.80000208318233
2,2.207749959855668,14,113.95000169798732
4,1.8072817032687283,11,134.05000199750066
1,1.6502568877557753,15,105.95000157877803
5,1.6954562475398955,11,89.80000133812428
2,1.9293989172161736,17,55.75000083073974
0,1.9551464700445795,9,79.4000011831522
2,1.1615168932035074,13,114.4500017054379
0,0.0,0,0
0,0.0,0,0
3,2.564643637392772,29,63.10000094026327
4,2.281994505374216,22,74.35000110790133
1,1.5119498108145921,13,126.35000188276172
3,2.194114206273107,23,128.60000191628933
1,1.247006179831644,76,140.10000208765268
4,1.3156222280838443,53,132.65000197663903
2,2.6008807107774716,61,107.95000160858035
1,1.1703676077174843,72,192.20000286400318
5,1.113263478048215,68,166.05000247433782
6,2.834660554621926,14,85.0000012665987
2,0.8370737710418428,37,112.95000168308616
0,0.9225237062324045,37,107.00000159442425
0,0.0,0,0
3,2.7467464690443224,36,52.200000777840614
0,0.0,0,0
3,2.321046546444018,55,52.55000078305602
3,1.6606174177260304,40,68.15000101551414
1,0.5952076517845888,42,78.40000116825104
0,0.49398618728338456,34,79.25000118091702
0,0.0,0,0
0,0.0,0,0
4,2.430421265884658,42,56.25000083819032
2,1.4206744613626716,8,104.200001552701
1,0.8737010297501441,13,138.50000206381083
0,0.9036326750561062,28,155.15000231191516
2,1.6388440874700967,88,146.00000217556953
0,1.1753365550855703,77,168.85000251606107
0,1.3030548471329495,66,217.8000032454729
2,0.32242805454450185,89,277.70000413805246
0,0.012511489933771085,97,277.4500041343272
0,0.9110137850326272,99,220.2000032812357
0,0.7062513869434501,26,262.5000039115548
3,0.638100587665158,73,263.7000039294362
2,0.08709526537218602,52,250.600003734231
0,0.0,0,0
3,2.4751025872705674,42,57.40000085532665
4,1.6006629059194564,7,97.80000145733356
1,0.8989437964672155,9,157.45000234618783
0,0.5349384143880362,11,229.90000342577696
0,0.05995925762993795,5,319.45000476017594
